account_number,name,phone,account_type,password,balance
2594556518,temi tope,2345678,savings,1234,0.00
account_number,name,phone,account_type,password,balance
1329107488,ayo mide,3456789,savings,1234,10000.0
account_number,name,phone,account_type,password,balance
1329107488,ayo mide,3456789,savings,1234,10000.0
account_number,name,phone,account_type,password,balance
account_number,name,phone,account_type,password,balance
6173237437,Temi tems,456789,1,1234,0.0
7592277829,Welly ton,345678,1,1234,0.0
8118411805,Dan danny,09032115544,2,7890,93000000.0
9372659718,Dan danny,09032115544,1,7890,348999800.0
8104808754,Afo labi,08012356745,2,1234,1000000.0
